Word,Intent
goodbye,goodbye
bye,goodbye
see you,goodbye
see you later,goodbye
talk to you later,goodbye
catch you later,goodbye
take care,goodbye
farewell,goodbye
have a nice day,goodbye
have a good one,goodbye
later,goodbye
see ya,goodbye
peace out,goodbye
adios,goodbye
ciao,goodbye
au revoir,goodbye
sayonara,goodbye
cheerio,goodbye
see you soon,goodbye
so long,goodbye
talk soon,goodbye
all the best,goodbye
good night,goodbye
until next time,goodbye
stay safe,goodbye
have a great day,goodbye
I'm out,goodbye
